time,joint,pos_x,pos_y,poz_z,frame
0.353,SpineBase,-0.130,0.771,1.676,0
0.353,SpineMid,-0.128,1.125,1.745,0
0.353,Neck,-0.125,1.460,1.798,0
0.353,Head,-0.121,1.620,1.844,0
0.353,ShoulderLeft,-0.317,1.317,1.764,0
0.353,ElbowLeft,-0.365,1.057,1.718,0
0.353,WristLeft,-0.357,0.819,1.599,0
0.353,HandLeft,-0.353,0.767,1.572,0
0.353,ShoulderRight,0.055,1.313,1.807,0
0.353,ElbowRight,0.094,1.073,1.755,0
0.353,WristRight,0.082,0.819,1.608,0
0.353,HandRight,0.072,0.760,1.578,0
0.353,HipLeft,-0.213,0.777,1.618,0
0.353,KneeLeft,-0.221,0.382,1.584,0
0.353,AnkleLeft,-0.207,-0.064,1.626,0
0.353,FootLeft,-0.187,-0.077,1.487,0
0.353,HipRight,-0.040,0.776,1.650,0
0.353,KneeRight,-0.064,0.380,1.604,0
0.353,AnkleRight,-0.116,-0.065,1.613,0
0.353,FootRight,-0.107,-0.069,1.469,0
0.569,SpineBase,-0.132,0.770,1.675,1
0.569,SpineMid,-0.129,1.124,1.744,1
0.569,Neck,-0.126,1.458,1.797,1
0.569,Head,-0.125,1.619,1.843,1
0.569,ShoulderLeft,-0.318,1.316,1.763,1
0.569,ElbowLeft,-0.367,1.056,1.717,1
0.569,WristLeft,-0.357,0.817,1.595,1
0.569,HandLeft,-0.351,0.767,1.571,1
0.569,ShoulderRight,0.052,1.313,1.805,1
0.569,ElbowRight,0.091,1.071,1.756,1
0.569,WristRight,0.079,0.813,1.613,1
0.569,HandRight,0.067,0.753,1.585,1
0.569,HipLeft,-0.215,0.777,1.616,1
0.569,KneeLeft,-0.219,0.377,1.589,1
0.569,AnkleLeft,-0.208,-0.069,1.626,1
0.569,FootLeft,-0.189,-0.080,1.485,1
0.569,HipRight,-0.042,0.775,1.649,1
0.569,KneeRight,-0.068,0.377,1.602,1
0.569,AnkleRight,-0.112,-0.071,1.614,1
0.569,FootRight,-0.102,-0.076,1.470,1
0.749,SpineBase,-0.132,0.770,1.674,2
0.749,SpineMid,-0.130,1.123,1.744,2
0.749,Neck,-0.127,1.457,1.796,2
0.749,Head,-0.126,1.618,1.842,2
0.749,ShoulderLeft,-0.318,1.315,1.760,2
0.749,ElbowLeft,-0.369,1.054,1.716,2
0.749,WristLeft,-0.357,0.816,1.595,2
0.749,HandLeft,-0.353,0.766,1.570,2
0.749,ShoulderRight,0.050,1.312,1.806,2
0.749,ElbowRight,0.089,1.068,1.758,2
0.749,WristRight,0.076,0.810,1.615,2
0.749,HandRight,0.066,0.751,1.586,2
0.749,HipLeft,-0.215,0.777,1.616,2
